|L|-|T|-|B|,Gamma (%),Baseline - # iter.,Baseline - Time (s),Variant - # iter.,Variant - Time (s),Ratio - # iter.,Ratio - Time (s)
10-4-10,10,29.2,1,32.4,6,0.90,0.14
,30,20.4,1,33.4,7,0.61,0.07
,50,26.2,1,24.6,5,1.07,0.15
,70,20.6,1,21.8,4,0.94,0.12
,90,22.8,0,20.4,4,1.12,0.14

