|L| - |T| - |B|,Γ (%),# Iter.,Time (s),Avg LB,Avg UB
10-4-10,10,36.60,1,7405.5730,7405.5730
,20,25.00,1,8298.7957,8298.7957
,30,24.20,1,6387.6509,6387.6509
,40,25.00,1,7302.7596,7302.7596
,50,26.40,1,7781.6449,7781.6449
,60,25.20,1,8454.8158,8454.8158
,70,25.20,1,8895.6185,8895.6185
,80,22.60,0,7984.4373,7984.4373
,90,22.80,0,7696.9819,7696.9819

10-4-20,10,53.40,3,5928.5935,5928.5935
,20,38.20,2,5754.5666,5754.5666
,30,38.80,2,8879.5548,8879.5548
,40,44.20,3,6667.0291,6667.0291
,50,32.00,2,5120.5986,5120.5986
,60,36.40,2,6545.9797,6545.9797
,70,35.40,2,8725.4548,8725.4548
,80,39.00,2,8443.8001,8443.8001
,90,31.80,1,6932.7595,6932.7595











